abaddon	Abaddon	亚巴顿
alchemist	Alchemist	炼金术士
ancient_apparition	Ancient	远古冰魄
antimage	Anti-Mage	敌法师
arc_warden	Arc	天穹守望者
axe	Axe	斧王
bane	Bane	祸乱之源
batrider	Batrider	蝙蝠骑士
beastmaster	Beastmaster	兽王
bloodseeker	Bloodseeker	嗜血狂魔
bounty_hunter	Bounty	赏金猎人
brewmaster	Brewmaster	酒仙
bristleback	Bristleback	钢背兽
broodmother	Broodmother	育母蜘蛛
centaur	Centaur	半人马战行者
chaos_knight	Chaos	混沌骑士
chen	Chen	陈
clinkz	Clinkz	克林克兹
crystal_maiden	Crystal	水晶室女
dark_seer	Dark	黑暗贤者
dazzle	Dazzle	戴泽
death_prophet	Death	死亡先知
disruptor	Disruptor	干扰者
doom_bringer	Doom	末日使者
dragon_knight	Dragon	龙骑士
drow_ranger	Drow	卓尔游侠
earth_spirit	Earth	大地之灵
earthshaker	Earthshaker	撼地者
elder_titan	Elder	上古巨神
ember_spirit	Ember	灰烬之灵
enchantress	Enchantress	魅惑魔女
enigma	Enigma	谜团
faceless_void	Faceless	虚空假面
furion	Nature's	先知
gyrocopter	Gyrocopter	矮人直升机
huskar	Huskar	哈斯卡
invoker	Invoker	祈求者
jakiro	Jakiro	杰奇洛
juggernaut	Juggernaut	主宰
keeper_of_the_light	Keeper	光之守卫
kunkka	Kunkka	昆卡
legion_commander	Legion	军团指挥官
leshrac	Leshrac	拉席克
lich	Lich	巫妖
life_stealer	Lifestealer	噬魂鬼
lina	Lina	莉娜
lion	Lion	莱恩
lone_druid	Lone	德鲁伊
luna	Luna	露娜
lycan	Lycan	狼人
magnataur	Magnus	马格纳斯
medusa	Medusa	美杜莎
meepo	Meepo	米波
mirana	Mirana	米拉娜
morphling	Morphling	变体精灵
naga_siren	Naga	娜迦海妖
necrolyte	Necrophos	瘟疫法师
nevermore	Shadow	影魔
night_stalker	Night	暗夜魔王
nyx_assassin	Nyx	司夜刺客
obsidian_destroyer	Outworld	殁境神蚀者
ogre_magi	Ogre	食人魔魔法师
omniknight	Omniknight	全能骑士
oracle	Oracle	神谕者
phantom_assassin	Phantom	幻影刺客
phantom_lancer	Phantom	幻影长矛手
phoenix	Phoenix	凤凰
puck	Puck	帕克
pudge	Pudge	帕吉
pugna	Pugna	帕格纳
queenofpain	Queen	痛苦女王
rattletrap	Clockwerk	发条技师
razor	Razor	剃刀
riki	Riki	力丸
rubick	Rubick	拉比克
sand_king	Sand	沙王
shadow_demon	Shadow	暗影恶魔
shadow_shaman	Shadow	暗影萨满
shredder	Timbersaw	伐木机
silencer	Silencer	沉默术士
skeleton_king	Wraith	冥魂大帝
skywrath_mage	Skywrath	天怒法师
slardar	Slardar	斯拉达
slark	Slark	斯拉克
sniper	Sniper	狙击手
spectre	Spectre	幽鬼
spirit_breaker	Spirit	裂魂人
storm_spirit	Storm	风暴之灵
sven	Sven	斯温
techies	Techies	工程师
templar_assassin	Templar	圣堂刺客
terrorblade	Terrorblade	恐怖利刃
tidehunter	Tidehunter	潮汐猎人
tinker	Tinker	修补匠
tiny	Tiny	小小
treant	Treant	树精卫士
troll_warlord	Troll	巨魔战将
tusk	Tusk	巨牙海民
undying	Undying	不朽尸王
ursa	Ursa	熊战士
vengefulspirit	Vengeful	复仇之魂
venomancer	Venomancer	剧毒术士
viper	Viper	冥界亚龙
visage	Visage	维萨吉
warlock	Warlock	术士
weaver	Weaver	编织者
windrunner	Windranger	风行者
winter_wyvern	Winter	寒冬飞龙
wisp	Io	艾欧
witch_doctor	Witch	巫医
zuus	Zeus	宙斯
